perfil,train_years,test_years,retorno_total_pct,abandono_promedio_pct,aceptacion_promedio_pct,score
muy arriesgado,5,2.0,412.79015326379704,6.44312441276389,50.01551300377608,4.063470288510332
arriesgado,5,2.0,327.4266943388157,4.45427829270722,50.01287992879199,3.2297241604610845
muy arriesgado,2,2.0,305.0810133941348,8.498903717231341,50.01818175615536,2.9658210967690346
arriesgado,2,2.0,275.24353743412877,4.235842176582333,47.84145147503176,2.7100769525754647
neutro,5,2.0,157.60856485863775,8.613131380097363,45.65555368232754,1.4899543347854038
neutro,2,2.0,142.17444890549743,6.255787393970075,50.01323094030715,1.3591866151152734
muy arriesgado,5,1.0,123.01098054772788,4.447333988647098,50.009333812781996,1.1856364655908078
muy arriesgado,4,2.0,121.46249545592256,13.087300648653558,47.833481435526046,1.08375194807269
arriesgado,4,2.0,116.91760474735008,11.004471068661067,36.96174916911945,1.0591313367868902
arriesgado,2,1.0,104.86078558932049,8.471684353164665,45.46155714659656,0.9638910123615582
muy arriesgado,2,1.0,108.0867126340376,12.771472164069674,50.00721002579067,0.9531524046996792
arriesgado,3,1.0,86.59283786299969,4.222886872500321,50.00835554899346,0.8236995099049937
arriesgado,5,1.0,80.50473012560371,4.6157030864349,50.0082893738795,0.7588902703916881
muy arriesgado,3,1.0,86.08629876997023,12.613839915148015,50.0069060164943,0.7347245885482221
arriesgado,3,2.0,71.5138532126292,10.959609904076645,50.013515184387416,0.6055424330855255
neutro,4,2.0,73.48821259754106,15.039287222727005,26.088616650793995,0.5844892537481405
neutro,2,1.0,57.16972490455132,4.1674098533345045,50.00641572703227,0.5300231505121682
neutro,3,1.0,59.54316607601107,8.401747324571724,50.00242415564653,0.5114141875143934
neutro,3,2.0,64.6633551258799,14.927109922129631,50.0065317036899,0.49736245203750273
conservador,2,2.0,52.95362893031032,6.2780274928543,45.66025714641896,0.46675601437456027
arriesgado,2,0.5,44.5604055880158,8.477097310392557,40.00223980084519,0.3608330827762324
muy arriesgado,3,2.0,49.85990450241753,15.293806319651196,50.01833527436524,0.34566098182766336
muy arriesgado,2,0.5,41.414843826005246,8.623563950664408,50.00326935584438,0.32791279875340834
conservador,5,2.0,39.21742867996516,8.485198123869953,4.347860072256506,0.3073223055609521
neutro,5,1.0,37.8449938509221,8.78450081875017,40.91113619891684,0.29060493032171936
arriesgado,3,0.5,36.702358742196054,8.445773745000642,50.00560677858401,0.2825658499719541
neutro,2,0.5,26.8460302444695,0.0,50.004430000644426,0.268460302444695
muy arriesgado,3,0.5,36.80443458677196,16.859262687591826,50.00443849288233,0.19945171899180134
conservador,3,2.0,33.65964079307622,14.695770449777932,26.087368746895066,0.18963870343298286
conservador,2,1.0,26.605819405416952,8.360358519077282,40.91209173737699,0.1824546088633967
conservador,3,1.0,23.483369228562978,8.359952759058702,18.182063405735224,0.15123416469504275
neutro,3,0.5,26.173579243726387,16.80349464914345,50.00228199615343,0.09370084594582936
conservador,2,0.5,17.582935093345565,8.37121809234002,30.001917000995732,0.09211717001005543
conservador,3,0.5,13.191142446382376,8.385935867804866,30.000364071566327,0.04805206578577509
conservador,4,2.0,17.352428785993613,14.832201153372173,6.521816377570365,0.025202276326214385
conservador,5,1.0,7.562129867122436,8.6072122617162,9.090980151081785,-0.010450823945937646
muy arriesgado,5,0.5,5.789573752662158,8.894667977294196,50.00331756216128,-0.03105094224632038
muy conservador,2,2.0,0.18480590471761094,8.33350849469659,45.65221451517986,-0.08148702589978979
muy conservador,3,1.0,0.09189717137632059,8.33351905839882,18.181819224990623,-0.082416218870225
muy conservador,2,0.5,0.07027955896066196,8.333571037465509,30.000008221301073,-0.08263291478504847
muy conservador,3,0.5,0.05395333228290777,8.33362919259859,30.000001549354995,-0.08279675860315681
muy conservador,5,1.0,0.03847511557943939,8.334538266876827,9.090909391584875,-0.08296063151297388
muy conservador,5,2.0,0.15041062070424438,10.417369913965583,4.347826230757983,-0.1026695929326134
muy conservador,2,1.0,0.10245250164997444,12.500190866452707,40.90910401295478,-0.12397738364802732
muy conservador,3,2.0,0.12781301867221817,14.58394541780255,21.73913216879381,-0.1445613239913033
muy conservador,4,2.0,0.07997870083382708,14.584503737201784,6.521739462355032,-0.14504525036367957
conservador,4,1.0,6.243065808026582,21.01059616464874,0.0,-0.14767530356622158
muy conservador,5,0.5,-0.030783048859306383,16.669076533753653,20.000000661486723,-0.1669985958261296
arriesgado,5,0.5,-8.291008018338298,9.2314061728698,50.00246381718764,-0.17522414191208097
neutro,4,1.0,4.8143945055385995,25.56625708870991,13.636748684017668,-0.2075186258317131
muy conservador,4,1.0,0.027390824469430974,20.834281622969083,0.0,-0.20806890798499653
muy conservador,4,0.5,-0.005229404739837129,25.001685824504232,0.0,-0.2500691522924407
conservador,5,0.5,-8.096773592810901,17.2144245234324,20.00015633237993,-0.25311198116243305
arriesgado,4,1.0,-7.869206482086244,17.594300240570572,22.728069538348457,-0.25463506722656815
conservador,4,0.5,-1.397880059810963,25.337611162489797,0.0,-0.2673549122230076
neutro,5,0.5,-9.909230262160884,17.56900163750034,50.00206940658622,-0.2747823189966122
neutro,4,0.5,-2.6678789366995304,25.812714130458925,0.0,-0.28480593067158455
muy arriesgado,4,1.0,-18.700709202969044,17.746110548297477,45.45768983852349,-0.36446819751266524
arriesgado,4,0.5,-15.902501691435667,26.333397488439235,0.0,-0.42235899179874903
muy arriesgado,4,0.5,-25.650485476616403,26.51276309571906,40.00076502474168,-0.5216324857233546
