perfil,lambda,perdida_max_anual,mes_test,train_inicio,train_fin,test_inicio,test_fin,retorno_esperado_train,varianza_train,volatilidad_train,retorno_mes,retorno_mes_pct,num_activos_usados,peso_maximo
neutro,20,0.15,2018-10,2014-10-21,2018-09-28,2018-10-01,2018-10-31,0.0016047058480640856,3.1708976423700136e-05,0.005631072404409318,-0.07563340563028864,-7.563340563028865,38,0.0721443770247524
neutro,20,0.15,2018-11,2014-10-31,2018-10-31,2018-11-01,2018-11-30,0.0014212067254147588,2.8948751597289917e-05,0.005380404408340503,-0.019217461642694778,-1.9217461642694778,41,0.07858856036084172
neutro,20,0.15,2018-12,2014-12-02,2018-11-30,2018-12-03,2018-12-31,0.0013634307108550839,2.865364923382186e-05,0.005352910351745288,-0.044380668224980324,-4.438066822498032,48,0.09585726427471496
neutro,20,0.15,2019-01,2014-12-30,2018-12-31,2019-01-02,2019-01-31,0.0012615780301413425,2.9197719039794484e-05,0.005403491375008799,0.04729824715240771,4.729824715240771,41,0.0924343849294143
neutro,20,0.15,2019-02,2015-01-30,2019-01-31,2019-02-01,2019-02-28,0.0013383105685741141,3.058966639971198e-05,0.005530792565239812,0.03299852399528613,3.2998523995286133,46,0.08814955954722016
neutro,20,0.15,2019-03,2015-02-27,2019-02-28,2019-03-01,2019-03-29,0.0013107454371707884,2.9178294363101766e-05,0.005401693656910004,0.009709381798953087,0.9709381798953087,42,0.08431994143580795
neutro,20,0.15,2019-04,2015-03-30,2019-03-29,2019-04-01,2019-04-30,0.0013079464742395835,3.0364158190328542e-05,0.005510368244530355,0.02221132784509261,2.221132784509261,47,0.08621006307615707
neutro,20,0.15,2019-05,2015-04-29,2019-04-30,2019-05-01,2019-05-31,0.0013378947145068283,3.09846396185279e-05,0.005566384788938679,0.003694974439619969,0.3694974439619969,50,0.08802217742543376
neutro,20,0.15,2019-06,2015-06-01,2019-05-31,2019-06-03,2019-06-28,0.001310572344116495,3.064021575278209e-05,0.005535360489867132,0.0410833264928645,4.10833264928645,40,0.08816224339967987
neutro,20,0.15,2019-07,2015-06-29,2019-06-28,2019-07-01,2019-07-31,0.0013187165769617732,3.0307713945651652e-05,0.005505244222162324,0.007404523787648776,0.7404523787648776,44,0.09049126499149357
neutro,20,0.15,2019-08,2015-07-30,2019-07-31,2019-08-01,2019-08-30,0.0013440794129790442,3.0126868872544967e-05,0.005488794847008309,0.011517366628536863,1.1517366628536863,45,0.09129230933483637
neutro,20,0.15,2019-09,2015-08-31,2019-08-30,2019-09-03,2019-09-30,0.0013668078276166322,2.968982403595035e-05,0.005448836943417407,0.020101105952014864,2.0101105952014864,44,0.10787751515748904
