perfil,lambda,perdida_max_anual,mes_test,train_inicio,train_fin,test_inicio,test_fin,decision,retorno_esperado_nuevo,volatilidad_nueva,retorno_mes,retorno_mes_pct,num_activos_actuales,peso_maximo_actual,exceso_perdida,probabilidad_abandono_P1,probabilidad_aceptacion_P2,retorno_predicho_mes,diferencia_prediccion_real
neutro,7.6,0.15,2018-10,2014-10-21,2018-09-28,2018-10-01,2018-10-31,primer_portafolio,0.0024816462329285724,0.010221417597008023,-0.12642568941900256,-12.642568941900256,26,0.15732093106470568,0.11392568941900257,0.5284506571039789,,0.05211457089150002,-0.17854026031050257
neutro,7.6,0.15,2018-11,2014-10-31,2018-10-31,2018-11-01,2018-11-30,mantiene_anterior,0.002083053705903029,0.00944155924387488,-0.036183454141898386,-3.6183454141898386,26,0.15732093106470568,0.02368345414189839,0.5059205867970068,0.0,0.04555952352197792,-0.08174297766387631
neutro,7.6,0.15,2018-12,2014-12-02,2018-11-30,2018-12-03,2018-12-31,mantiene_anterior,0.001838450433922785,0.008668575661124752,-0.07298730119174679,-7.298730119174679,26,0.15732093106470568,0.06048730119174679,0.5151172164485123,0.0,0.04214980714631712,-0.11513710833806391
neutro,7.6,0.15,2019-01,2014-12-30,2018-12-31,2019-01-02,2019-01-31,mantiene_anterior,0.0017386327796701624,0.008711345897381257,0.10819068455399372,10.819068455399371,26,0.15732093106470568,-0.12069068455399372,0.0,0.0,0.03986085696335969,0.06832982759063402
neutro,7.6,0.15,2019-02,2015-01-30,2019-01-31,2019-02-01,2019-02-28,mantiene_anterior,0.002143771968875577,0.00985898877613951,0.05559849482161372,5.559849482161372,26,0.15732093106470568,-0.06809849482161372,0.0,0.0,0.04607094429670074,0.009527550524912977
neutro,7.6,0.15,2019-03,2015-02-27,2019-02-28,2019-03-01,2019-03-29,mantiene_anterior,0.0020998159609314673,0.00971026912731609,0.07433165758581195,7.433165758581195,26,0.15732093106470568,-0.08683165758581195,0.0,0.0,0.04514148809435117,0.029190169491460777
neutro,7.6,0.15,2019-04,2015-03-30,2019-03-29,2019-04-01,2019-04-30,mantiene_anterior,0.002295154215720652,0.010383745881580638,0.04558312285125132,4.558312285125132,26,0.15732093106470568,-0.05808312285125132,0.0,0.5000098467996162,0.04737110736226591,-0.0017879845110145842
neutro,7.6,0.15,2019-05,2015-04-29,2019-04-30,2019-05-01,2019-05-31,mantiene_anterior,0.002250544957407421,0.01017148269848294,-0.079464184849108,-7.9464184849108,26,0.15732093106470568,0.066964184849108,0.51673479316344,0.5000013498063111,0.04714806037542818,-0.12661224522453618
neutro,7.6,0.15,2019-06,2015-06-01,2019-05-31,2019-06-03,2019-06-28,mantiene_anterior,0.0019981733098239293,0.009469855818270825,0.10876702880639844,10.876702880639844,26,0.15732093106470568,-0.12126702880639843,0.0,0.0,0.04206039364595244,0.066706635160446
neutro,7.6,0.15,2019-07,2015-06-29,2019-06-28,2019-07-01,2019-07-31,mantiene_anterior,0.002051515667854698,0.00955670684064709,-0.012817231916940286,-1.2817231916940286,26,0.15732093106470568,0.000317231916940287,0.5000793079785699,0.0,0.04372053893305802,-0.05653777084999831
neutro,7.6,0.15,2019-08,2015-07-30,2019-07-31,2019-08-01,2019-08-30,mantiene_anterior,0.0020720313079337356,0.00966372791927199,-0.01472926184434764,-1.472926184434764,26,0.15732093106470568,0.002229261844347642,0.5005573152302837,0.5000090968084858,0.04274852555371824,-0.05747778739806588
neutro,7.6,0.15,2019-09,2015-08-31,2019-08-30,2019-09-03,2019-09-30,mantiene_anterior,0.0021005460084545075,0.009545113660428099,0.043143338423768274,4.314333842376827,26,0.15732093106470568,-0.05564333842376827,0.0,0.5000085580583371,0.043392589277150936,-0.0002492508533826626
